time,04/01 (一),04/02 (二),04/03 (三),04/04 (四),04/05 (五),04/06 (六),04/07 (日),04/08 (一),04/09 (二),04/10 (三),04/11 (四),04/12 (五),04/13 (六),04/14 (日),04/15 (一),04/16 (二),04/17 (三),04/18 (四),04/19 (五),04/20 (六),04/21 (日),04/22 (一),04/23 (二),04/24 (三),04/25 (四),04/26 (五),04/27 (六),04/28 (日),04/29 (一),04/30 (二)
09:00,1,13,8,X,X,X,X,2,13,8,14,14,X,X,1,14,8,15,12,X,X,2,12,8,15,12,X,X,2,14
09:30,6,13,11,X,X,X,X,7,13,11,13,17,X,X,6,14,11,14,15,X,X,7,12,11,14,15,X,X,7,14
10:00,5,12,9,X,X,X,X,6,12,9,14,12,X,X,5,13,9,15,10,X,X,6,11,9,15,10,X,X,6,13
10:30,6,11,9,X,X,X,X,7,11,9,13,14,X,X,6,12,9,14,12,X,X,7,10,9,14,12,X,X,7,12
11:00,6,14,7,X,X,X,X,7,14,7,11,16,X,X,6,15,7,12,14,X,X,7,13,7,12,14,X,X,7,15
11:30,1,7,6,X,X,X,X,2,8,6,10,9,X,X,1,8,6,10,6,X,X,1,8,6,10,6,X,X,2,8
12:00,0,7,6,X,X,X,X,1,5,6,9,10,X,X,1,9,5,12,6,X,X,1,5,6,12,8,X,X,0,8
12:30,0,2,2,X,X,X,X,0,2,2,4,2,X,X,1,2,4,4,2,X,X,1,3,2,4,2,X,X,0,1
13:00,0,2,2,X,X,X,X,0,5,2,3,1,X,X,1,2,3,1,2,X,X,1,6,2,1,1,X,X,0,1
13:30,0,2,3,X,X,X,X,0,3,3,3,6,X,X,1,2,5,4,6,X,X,2,5,3,4,3,X,X,0,2
14:00,6,6,3,X,X,X,X,6,7,3,8,12,X,X,6,5,7,8,12,X,X,7,9,3,8,8,X,X,7,6
14:30,5,7,4,X,X,X,X,5,8,4,9,12,X,X,6,7,8,10,12,X,X,7,11,4,10,9,X,X,5,6
15:00,7,9,7,X,X,X,X,7,10,7,10,14,X,X,8,9,11,11,14,X,X,9,13,7,11,11,X,X,7,8
15:30,10,7,7,X,X,X,X,10,8,7,9,12,X,X,11,7,11,10,12,X,X,12,11,7,10,9,X,X,10,6
16:00,8,10,8,X,X,X,X,8,11,8,12,13,X,X,9,10,12,13,13,X,X,10,14,8,13,10,X,X,8,9
16:30,0,1,2,X,X,X,X,0,2,2,3,11,X,X,0,1,6,4,11,X,X,1,5,2,4,8,X,X,0,0
17:00,4,7,2,X,X,X,X,4,8,2,5,10,X,X,4,7,6,6,10,X,X,5,11,2,6,7,X,X,4,6
17:30,0,1,2,X,X,X,X,0,6,2,3,1,X,X,1,5,3,1,1,X,X,1,7,2,1,1,X,X,1,1
18:00,1,4,7,X,X,X,X,1,9,7,5,5,X,X,2,8,8,3,5,X,X,2,10,7,3,5,X,X,2,4
18:30,0,1,2,X,X,X,X,0,1,2,1,0,X,X,1,1,2,1,0,X,X,1,1,2,1,0,X,X,0,1
19:00,0,0,2,X,X,X,X,0,0,2,0,0,X,X,1,0,2,0,0,X,X,1,0,2,0,0,X,X,0,0
19:30,0,1,0,X,X,X,X,0,1,0,1,1,X,X,1,1,0,1,1,X,X,1,1,0,1,1,X,X,0,1
20:00,-1,1,1,X,X,X,X,-1,1,1,1,0,X,X,0,1,1,1,0,X,X,0,1,1,1,0,X,X,-1,1
20:30,0,2,2,X,X,X,X,0,2,2,2,0,X,X,1,2,2,2,0,X,X,1,2,2,2,0,X,X,0,2
